"Pdel_P1"	"Pdel_P4"
"Podel.01G049200"	0	0
"Podel.01G049300"	0	0
"Podel.01G049400"	0	0
"Podel.01G049500"	0	0
"Podel.01G049600"	10.4443832151378	11.3525904512367
"Podel.01G049700"	0	0
"Podel.01G049800"	0.187381046853126	0.374762093706252
"Podel.01G049900"	0	0
"Podel.01G050000"	0.132105275023709	0.198157912535564
"Podel.01G050100"	67.557373676901	55.0435078274232
"Podel.01G050200"	12.0927136367857	11.1713640263639
"Podel.01G050300"	0	0.0455197184859942
"Podel.01G050400"	2.76194529334197	1.8988373891726
"Podel.01G050500"	0	0
"Podel.01G050600"	13.6446975556668	13.2045460216131
"Podel.01G050700"	0	0
"Podel.01G050800"	1.53623269363839	1.89468698882069
"Podel.01G050900"	0.922051858600443	0.614701239066962
"Podel.01G051000"	0.962753638436796	0.834386486645223
"Podel.01G051100"	0	0
"Podel.01G051200"	0.90708559695767	0.960443573249297
"Podel.01G051300"	0.261801427995971	0.0523602855991941
"Podel.01G051400"	0	0.468162553592795
"Podel.01G051500"	11.7980090274109	12.6243287258288
"Podel.01G051600"	0.0539288533560887	0
"Podel.01G051700"	0	0
"Podel.01G051800"	0.20496984725242	0.333076001785182
"Podel.01G051900"	0	0
"Podel.01G052000"	0	0.0371356838925522
"Podel.01G052100"	0	0
"Podel.01G052200"	0	0
"Podel.01G052300"	0.0176861409135056	0.0176861409135056
"Podel.01G052400"	0	0
"Podel.01G052500"	0	0
"Podel.01G052600"	0	0
"Podel.01G052700"	0.0363152028843594	0
"Podel.01G052800"	0	0.0307600701404542
"Podel.01G052900"	0.0277767275551934	0.0277767275551934
"Podel.01G053000"	10.3515811969055	11.1099387937484
"Podel.01G053100"	17.2639245978058	19.6576620420394
"Podel.01G053200"	0	0
"Podel.01G053300"	0	0
"Podel.01G053400"	0	0
"Podel.01G053500"	0	0
"Podel.01G053600"	1.03776032713069	0.444754425913155
"Podel.01G053700"	0	0
"Podel.01G053800"	82.0220793894576	81.9284468787391
"Podel.01G053900"	0.161211625597519	0.0806058127987594
"Podel.01G054000"	1.41485091219292	2.20854776537432
"Podel.01G054100"	1.37747828268649	0.994845426384689
"Podel.01G054200"	111.834171669402	121.303413300116
"Podel.01G054300"	0.021959991985256	0
"Podel.01G054400"	58.5203191990993	54.775018770357
"Podel.01G054500"	0.32730845197072	0.98192535591216
"Podel.01G054600"	0.841427292268131	0.66112144392496
"Podel.01G054700"	1.3373225122446	1.38685297566107
"Podel.01G054800"	0.727002426973426	0.462637908073999
"Podel.01G054900"	0	0.0452202466538495
"Podel.01G055000"	0.13623108541484	0.13623108541484
"Podel.01G055100"	0.208718433140749	0.28698784556853
"Podel.01G055200"	42.1975076054277	43.3550452205391
"Podel.01G055300"	0	0
"Podel.01G055400"	0.0253633855770669	0
"Podel.01G055500"	0	0
"Podel.01G055600"	0	0
"Podel.01G055700"	0	0
"Podel.01G055800"	0	0
"Podel.01G055900"	0	0
"Podel.01G056000"	0.715270056143026	0.715270056143026
"Podel.01G056100"	2.65602760205748	3.36430162927281
"Podel.01G056200"	107.301699583547	106.161647526773
"Podel.01G056300"	20.1511437723854	20.3999233251309
"Podel.01G056400"	31.8783705714385	29.4641738328098
"Podel.01G056500"	0.0687973179301513	0.0687973179301513
"Podel.01G056600"	11.0720209139062	8.26609780558752
"Podel.01G056700"	0	0
"Podel.01G056800"	1.1560894863186	2.3121789726372
"Podel.01G056900"	0	0
"Podel.01G057000"	0	0
"Podel.01G057100"	0	0
"Podel.01G057200"	0.108166312453843	0
"Podel.01G057300"	0	0
"Podel.01G057400"	0.0729105616251074	0
"Podel.01G057500"	0.037008444642798	0
"Podel.01G057600"	0.0741257376521925	0
"Podel.01G057700"	0	0
"Podel.01G057800"	2.54339686990092	5.31801163706555
"Podel.01G057900"	0	0
"Podel.01G058000"	0	0
"Podel.01G058100"	0	0
"Podel.01G058200"	1.29050230008938	1.13867850007886
"Podel.01G058300"	0	0
"Podel.01G058400"	0	0
"Podel.01G058500"	8.182711299268	7.3644401693412
"Podel.01G058600"	0.0168018338678303	0.0672073354713212
"Podel.01G058700"	0.168018338678303	0
"Podel.01G058800"	2.45880495626785	2.86860578231249
"Podel.01G058900"	0	0
"Podel.01G059000"	0	0.0939816686205548
"Podel.01G059100"	19.5735034482878	18.5968629435915
"Podel.01G059200"	0	0.475523600032933
"Podel.01G059300"	0.203247990336657	0
"Podel.01G059400"	0	0
"Podel.01G059500"	0	0
"Podel.01G059600"	0	0
"Podel.01G059700"	0	0
"Podel.01G059800"	5.20681830799949	6.03815904625151
"Podel.01G059900"	146.287348023833	137.598664874502
"Podel.01G060000"	0.0693335647915968	0.138667129583194
"Podel.01G060100"	0.160811596749882	0.107207731166588
"Podel.01G060200"	0	0
"Podel.01G060300"	0	0.186687042975892
"Podel.01G060400"	0.147672367978977	0.110754275984233
"Podel.01G060500"	1.24151481781997	0.744908890691984
"Podel.01G060600"	0.0327734080646885	0.065546816129377
"Podel.01G060700"	0.517200529492852	0.775800794239278
"Podel.01G060800"	42.7783533345416	37.6620054274204
"Podel.01G060900"	94.7572771350047	85.1827647701205
"Podel.01G061000"	0	0
"Podel.01G061100"	0.200818731488012	0
"Podel.01G061200"	0	0.0598640161561649
"Podel.01G061300"	0.0848577468072237	0
"Podel.01G061400"	0	0
"Podel.01G061500"	0.0258578154600671	0.0258578154600671
"Podel.01G061600"	4.21628536396947	4.61512316866929
"Podel.01G061700"	0.41595737675331	0.319967212887162
"Podel.01G061800"	0.422392471537633	0.25343548292258
"Podel.01G061900"	0.157517192510909	0.157517192510909
"Podel.01G062000"	0.712064020939726	1.16519567062864
"Podel.01G062100"	0	0
"Podel.01G062200"	0.765168904796826	0.573876678597619
"Podel.01G062300"	0	0
"Podel.01G062400"	2.25322606505671	1.45207901970321
"Podel.01G062500"	132.953641910657	134.551642414391
"Podel.01G062600"	0	0
"Podel.01G062700"	10.6297316306681	12.4813623018168
"Podel.01G062800"	1.12637992410036	1.06603814245212
"Podel.01G062900"	740.137022666373	720.205145933886
"Podel.01G063000"	0	0.547885886994466
"Podel.01G063100"	0	0
"Podel.01G063200"	155.132098646502	135.274444192353
"Podel.01G063300"	0	0
"Podel.01G063400"	0.127824602544778	0
"Podel.01G063500"	0.0261982856567	0.1047931426268
"Podel.01G063600"	0	0
"Podel.01G063700"	0	0
"Podel.01G063800"	2.16817782632663	2.22377212956577
"Podel.01G063900"	0.0865082979464947	0.0865082979464947
"Podel.01G064000"	0	0
"Podel.01G064100"	0	0
"Podel.01G064200"	0	0
